Crop,clipped_PA_surf,total_surf
abaca,652.5318603515625,1624.6765
bambara,0.0,0.0
banana,2155.51513671875,6291.3257
cabbagefor,0.0,0.0
cabbage,0.0,0.0
cassava,7383.32373046875,23254.172
chilleetc,0.0,0.0
citrusnes,0.09541340917348862,0.44230157
cocoa,2760.9384765625,8673.493
coconut,1217.4713134765625,4226.8394
coffee,3451.53955078125,11116.932
cotton,0.0,0.0
cucumberetc,0.0,0.0
eggplant,0.0,0.022398503
fruitnes,3.0540568828582764,16.277845
greenbean,0.0,0.0
groundnut,4.148782730102539,64.32483
jute,0.0,0.0
kolanut,0.0,0.0
legumenes,0.0,0.0
maizefor,0.0,0.0
maize,8.230615615844727,68.01622
melonetc,0.0,0.0
melonseed,0.0,0.0
millet,0.0,0.0
oilpalm,719.5607299804688,3061.0798
onion,0.0,0.0
pepper,0.0,0.0
pimento,0.0,0.0
pineapple,0.03647615760564804,0.17883998
plantain,2544.924072265625,7741.3623
popcorn,0.0,0.0
potato,0.0,0.0
pulsenes,0.13199880719184875,0.5990306
pumpkinetc,0.0,0.0
rice,0.036269817501306534,0.25849175
rootnes,2139.482421875,5331.53
rubber,3.7425475120544434,27.31476
sesame,0.0,0.0
sorghumfor,0.0,0.0
sorghum,0.0,0.0
soybean,0.4783298075199127,5.5793133
sugarcane,0.5726404786109924,6.5566792
sweetpotato,5915.14501953125,18729.762
taro,3.7425475120544434,23.842272
tea,0.0,0.0
tobacco,0.0,0.0
tomato,0.014866800978779793,0.05416643
tropicalnes,0.0,0.0
vegetablenes,2.273714065551758,9.87872
vegfor,1.475160002708435,23.781464
watermelon,0.0,0.0
wheat,0.0,0.0
yam,7.368869781494141,101.941795
