Crop,clipped_PA_surf,total_surf
almond,0.12875321507453918,0.1553872
aniseetc,1.0382182598114014,8.604249
apple,7871.74072265625,51122.203
apricot,1.8647223711013794,4.0565805
barley,84102.15625,399111.47
bean,11903.76953125,84945.31
beetfor,9.921798706054688,13.304359
berrynes,9.859212875366211,15.867863
blueberry,5.349606513977051,10.043405
broadbean,223.74777221679688,267.23264
buckwheat,4175.79443359375,27168.547
cabbagefor,0.0,0.0
cabbage,1623.952880859375,10189.291
carrotfor,0.0,0.0
carrot,1419.87890625,8982.474
castor,0.0,0.042506155
cauliflower,5.486499786376953,10.151175
cerealnes,8359.0595703125,24836.555
cherry,110.82797241210938,630.6055
chestnut,0.05366397649049759,1.0539063
chickpea,0.591478705406189,10.188503
chilleetc,2.6531691551208496,3.3816667
cranberry,96.11640930175781,360.06528
cucumberetc,933.7905883789062,5932.6978
currant,23.716819763183594,46.707943
eggplant,0.9113674163818359,1.3724525
flax,4411.52392578125,49363.19
fornes,2871.8388671875,18554.027
fruitnes,4.727415084838867,16.346241
garlic,233.74794006347656,971.57733
gooseberry,2.784775972366333,6.291613
grape,1454.6593017578125,3918.191
grassnes,35.78983688354492,118.31802
greenpea,204.95530700683594,896.4054
hazelnut,1345.7755126953125,4259.599
hempseed,0.08766740560531616,0.6568086
hemp,0.6031453013420105,2.039825
hop,0.8490905165672302,1.5270559
jutelikefiber,0.3492308259010315,5.4287405
legumenes,262.76885986328125,480.15103
lentil,0.1542668342590332,3.012065
linseed,3665.879150390625,25470.074
lupin,339.60723876953125,1609.2687
maizefor,31501.81640625,158845.94
maize,39838.328125,220507.84
millet,1701.71728515625,10089.772
mixedgrain,669.8991088867188,1214.6445
mixedgrass,34784.80859375,164804.45
mustard,9.786718368530273,45.66512
nutnes,133.923828125,895.3736
oats,30056.037109375,157831.12
oilseedfor,0.0,0.0
oilseednes,25.276687622070312,40.862316
onion,1693.2257080078125,10933.079
peachetc,0.735214352607727,1.7214684
pear,851.7557983398438,5571.1484
pea,5803.74267578125,36530.812
plum,1177.3238525390625,7654.9854
popcorn,0.0,0.0
potato,39530.2265625,261823.06
pulsenes,53.43303680419922,97.84716
pumpkinetc,10.650490760803223,13.568892
quince,194.50970458984375,1059.3933
rapeseed,54003.32421875,356789.72
rasberry,9.936970710754395,18.961048
rice,0.06965906918048859,0.165241
ryefor,0.0,0.0
rye,69867.890625,345670.44
safflower,1.4308487176895142,16.226717
sorghumfor,0.0,0.0
sorghum,11.174312591552734,22.094135
sourcherry,996.9930419921875,6341.6636
soybean,219.59786987304688,659.36346
stonefruitnes,1.6480178833007812,2.8716
strawberry,1436.9248046875,9000.967
sugarbeet,8915.134765625,84539.01
sunflower,1759.472412109375,4195.8545
tea,0.0,0.011242334
tobacco,1.8014061450958252,10.655197
tomato,1127.892333984375,7138.164
triticale,72550.09375,462336.25
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,2957.29833984375,18885.15
vegfor,2887.11669921875,16092.538
vetch,1234.3536376953125,8684.087
walnut,995.5787963867188,5734.14
watermelon,9.168415069580078,23.089283
wheat,141462.609375,675940.75
